,Job_Name,Link,Machine Learning,Big Data,NLP,Visualisation,Data Mining/Analytics,Deep Learning,Mathematics,Object-oriented programming,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,SQL/databases,NoSQL,SPSS,Stata,AWS Cloud,Google Cloud,Databricks,Azure,IBM,API,Operations research,DevOps,Git,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,SDLC,Decision Making,Consulting
20,Data Scientist,https://www.indeed.ca/rc/clk?jk=5edcfb9a7f874634&fccid=3002307a9e5b4706&vjs=3,1,1,,1,1,1,1,,1,1,,1,1,,,,1,1,,,,,,,,,1,,1,1,1,,,,,,1,1,,,,
21,Data Scientist,https://www.indeed.ca/rc/clk?jk=6fa8d6f34254db39&fccid=50f7dae6edfd9634&vjs=3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jr. and Sr. Analytics Consultant,https://www.indeed.ca/company/Advance-Analytics-and-Research-Lab/jobs/Junior-Senior-Analytic-Consultant-eb5a678235144ed8?fccid=33f8d55a2e28126f&vjs=3,,,,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1
23,"Data Scientist, People Analytics",https://www.indeed.ca/rc/clk?jk=0c21ed9ee7e67a44&fccid=1bf77f1dd2c2631f&vjs=3,1,1,,1,1,1,1,,1,1,,1,,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,1,,,
24,Data Scientist,https://www.indeed.ca/company/MSi-Corp/jobs/Data-Scientist-3206f1f8714b7236?fccid=183e06e7def5a52c&vjs=3,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,1,1,,1,1,,,,,,,,
25,Data Scientist,https://www.indeed.ca/rc/clk?jk=22e77eac0c2c8eed&fccid=9cbee42cad63ad9e&vjs=3,1,1,1,1,1,1,1,1,1,,1,,,,1,,,,,,1,1,,,,,,,1,1,1,1,1,,,,,1,,,,
26,Data Scientist / Engineer,https://www.indeed.ca/rc/clk?jk=03dc820217100386&fccid=9402f6537fbfc5b0&vjs=3,,,,1,1,,1,,1,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,
27,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/rc/clk?jk=8df00b01b37d1d67&fccid=8d08a26504cbffaa&vjs=3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Data Scientist, Financial Crimes and Cybersecurity, Senior Associate",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CFuo8Y6gfchSUHQ1--N7NldjQkI7yBNtHdUdaTqsTp_wgBx-mCezkojpE1FqImCDcdMpTknceFKa1yqHEfg7eAzIRiEPi0KnsHBrUZqxbRZ7zRnwJLbU1gJumxWF0-bCwuOKher6Wuzrh9SqRxKGwEj9kdBxL0AjBptA0ti7K8HTZMg9iJ4TwfLUqCrxWOA5HJ0W8NRudrcZCIbtu-Or-mWnJgqHhKjpKGV1U-QyveUx08V9PnQDg4rdD8Fg6gNPq5CubkQi3ohWPMULfNTVgViq-LOmn8C-CX8r2M8fD66q4du0TPcpd8BYJzZ-FDuhp7aUoPHhD2rSYqV6ZDd1_I9tgzMbH-QCUx4wZbbcvH4Y6MWS-vAtxcLBSvPDVQB_xPH19LTsLTjHadSHUk6EXjiusDZupvsuYVrOy4dBRPmn6hXt2mazJKZr6_fqoDaMJ920h0RZeq5n1UbMVJnD28vuSMU4LYo1UvKuHE5LHWR8_h15oZVWuB0_5aQh_2L6YqBWMoG20v5pw1pddtr1QrdZfqZRmuzfz74HCXsSZuZxKoNYJGSIynDzTsltQMjl_eN3Q8d1E__i1egv_1oQxCiocsB6P1UTNoFWHIeUQl4opqOW3rIQyS&p=0&fvj=0&vjs=3,1,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,1,1,1,,,1
29,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuhtaewMu6iFdegy6RdxYB5JQNscVyYnVAtF7pltAyOrjnhQaJN2PqvnW74GW4vowgC8cShYPwiT1lIIOrUXE7bhzFDRwna_Z4Sihz5mohxOJY4nNI7zBFOdk3OmcvH2aYyuiBIkGv3SzA2ZEMgf7ZLGuOJo0c_DWID-mXdxCDIn8gXS7AH04YsYIeuKdTNdR_BQitvH7aqIXr5lg2FoamYgrlR-KzpmZXR4Aq0mP-9b8MmVgmnnw4Ays10H7YXhzqI7UUqcO5In5CpSN9yPBkoaJvpv4SV_A3TlTmTTffWHsXgxn2mKo9RLD6ayx4ATCSR_waYQmFNkfRxilJpdmiIKVIa_mAvLE8C5WDLpZKnaWzKB7Eq1zpA4azXiBYKmW5Se-OkkcqCQQYEKm-YvCcCsH6alZjtFHaSXdgfCtKTdCVs=&p=1&fvj=0&vjs=3,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,,,
30,Senior Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJgnpdx0xJ87aukfQBUlZe7V-kkaqRGE-v4FcRBbnxdQUVqW6ZcFyoApE9oDOTIRaP0kjaX-XiXQbAaonUBo0a6wdlPTET6ViZ0GDf2awxDXcsqbAGS52nPwe3Pzv_szAgQYWE_FMddpWL_km2LjGcYvVBq2tGQSnKkFC2WwkvFdLdkc-aPSY5BPB94c4ZaFLlviaCUA5hTIKYz8u-Byv1g2wqGeiW7aHwsU2tDi1PDOQSgaaS0p4zAzsExPG81p0if_iZYqKpQ0wWP2bMnmx14hlJq0XOxggHbi-KDNQW3-3HojvHt9fP--qzQzrm0Ci1gmeJAUR58hpTEDnkRJB82vAVTI1yp-BkeqhVEKerF4C5bFiYifqYScrCfbYgiDErffBYNGm0cpm2N3VRy5238FXFLvX0RnCjs=&p=2&fvj=0&vjs=3,1,,1,,1,1,1,,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,
31,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEV31rV1hqECb4SgxxolZ1n878E0-fwBN8hxi77GQL0FDALwet8Q3pcA5kk43WMvHuxmGOq7UQyF8HmMzpWSMAetEUDfIvTvKfSLIspSHkhzN7JdVBR_8WzLxIfJ9U69-OIvC_vykU2poQrTSJ-UF7yByUdtiovHWYGSUqZUo6fpyEYF8r2BSoyGtlrPEMMEouH1QdFol5IVAYIIiGxgzvwsqhd8lk7a4SU3wOmKWRd6MVUsY8ixf8E0gEEAqbW2yQ-VEpr1DW8RGjlhYVs5Id247NlGLQtz0NhH_a1hChkoxYVQACnQBu_fF8Ydm32KtCQ20gtij84U3mMNzSYczQZLG3QZJTfvKe9SXWlErGCEvc9gouBOTvFA7Upz9BUbE9ebDCVquhK9bmpwpRWYxbsx3qlDZDKmPog==&p=3&fvj=0&vjs=3,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
