,Job_Name,Link,Job_Location,Mathematics,Statistics,Linear Algebra,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,Object-oriented programming,SQL/databases,NoSQL,SPSS,Stata,Access,Data Mining/Analytics,Visualisation,Tableau,Power BI,Matplot,Machine Learning,KNN,SVM,K-means,Multivariate Analysis,Regression,Classification,NLP,Deep Learning,Time-series,Simulation,Big Data,AWS Cloud,Google Cloud,Databricks,Azure,IBM Cloud,API,Operations research,DevOps,Git,SDLC,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,Decision Making,Consulting
34,"Manager, Data Science",https://www.indeed.ca/rc/clk?jk=9d50a594773e07a6&fccid=be7195d2ebb48351&vjs=3,Montreal,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,1,1,1,,
35,Data Scientist,https://www.indeed.ca/rc/clk?jk=b691d075fb941852&fccid=46e789a2786c8da1&vjs=3,Montreal,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,1,,,,,,,1,,,,
36,Senior Data Scientist - NLP,https://www.indeed.ca/rc/clk?jk=376183f35729a0cc&fccid=d9e7c4d795860e0c&vjs=3,Montreal,,,,1,1,,,,,1,,1,1,1,,,,1,,,,,1,,,,,,,1,1,1,,1,,,,,,,,,,,1,1,1,,,,,,1,,,
37,Scientifique des donn??es g??n??raliste / Data Scientist Generalist,https://www.indeed.ca/company/TC-Transcontinental/jobs/Scientifique-Des-Donn%C3%A9e-G%C3%A9n%C3%A9raliste-e3083cc0ec5dc00a?fccid=4e0bc64650e499bb&vjs=3,Montreal,,,,,,,,,,1,,,1,1,,,,1,,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,
38,Data Scientist: Product Research Lead,https://www.indeed.ca/rc/clk?jk=0874ea8f7daa06b2&fccid=155d54208de1b9b1&vjs=3,Montreal,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,1,
39,Senior Data Scientist - NLP,https://www.indeed.ca/rc/clk?jk=e64645a1cb003e71&fccid=42ccd87a2c182a30&vjs=3,Montreal,,,,1,1,,,,,1,,1,1,1,,,,1,,,,,1,,,,,,,1,1,1,,1,,,,,,,,,,,1,1,1,,,,,,1,,,
40,SENIOR DATA SCIENTIST,https://www.indeed.ca/rc/clk?jk=f3cbf7af40458a92&fccid=0fcdec9647fe762c&vjs=3,Montreal,,1,,1,,,,,1,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1
41,Senior Data Scientist - Air,https://www.indeed.ca/rc/clk?jk=5ca903406be21769&fccid=71eb96af97fae7e9&vjs=3,Montreal,1,1,,,1,,,,,,1,,1,,,,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,
42,Scientifique des donn??es/ Data Scientist,https://www.indeed.ca/rc/clk?jk=110be841ad925a5c&fccid=b839f9af280b111f&vjs=3,Montreal,,1,,1,,,,,,1,,,1,,,,,1,1,,1,,1,,1,,,1,,,1,1,,1,,,,1,,,,,1,,1,1,1,,,,,,1,,1,
43,Data Engineer or Scientist - Product Owner,https://www.indeed.ca/rc/clk?jk=5be07b5eaa1b074d&fccid=b3f8eab3b50969f8&vjs=3,Montreal,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,1,,1,,,,1,,,,1,,,,,,1,,,,
